domain,epochs,iter,样本数,F1,EM
bridgeours,10,2,64,0.6245,0.4977
bridgeours,10,2,32,0.5593,0.4065
bridgeours,10,2,2048,0.8663,0.7570
bridgeours,10,2,2844,0.9168,0.8528
bridgeours,10,2,512,0.8233,0.6893
bridgeours,10,2,1024,0.8343,0.7220
bridgeours,10,2,16,0.5096,0.3785
bridgeours,10,2,128,0.7067,0.5771
bridgeours,10,2,256,0.7563,0.6121
bridgeours,10,2,64,0.6505,0.5187
bridgeours,10,2,32,0.5705,0.4393
bridgeours,10,2,2844,0.9343,0.8668
bridgeours,10,2,2048,0.8809,0.7780
bridgeours,10,2,512,0.8053,0.6565
bridgeours,10,2,1024,0.8524,0.7336
bridgeours,10,2,16,0.4632,0.3528
bridgeours,10,2,128,0.7298,0.5771
bridgeours,10,2,256,0.7701,0.6285
bridgeours,10,2,64,0.6535,0.5304
bridgeours,10,2,32,0.5803,0.4439
bridgeours,10,2,2048,0.8794,0.7897
bridgeours,10,2,2844,0.9137,0.8435
bridgeours,10,2,512,0.7946,0.6589
bridgeours,10,2,1024,0.8224,0.6963
bridgeours,10,2,16,0.4820,0.3271
bridgeours,10,2,128,0.7019,0.5584
bridgeours,10,2,256,0.7430,0.6215
bridgeours,10,2,64,0.6637,0.5327
bridgeours,10,2,32,0.4942,0.3528
bridgeours,10,2,2048,0.8821,0.7757
bridgeours,10,2,512,0.8060,0.6869
bridgeours,10,2,1024,0.8330,0.7150
bridgeours,10,2,16,0.4737,0.3364
bridgeours,10,2,128,0.6695,0.5234
bridgeours,10,2,256,0.7521,0.6308
bridgeours,10,2,64,0.6576,0.5140
bridgeours,10,2,2844,0.9193,0.8551
bridgeours,10,2,32,0.5803,0.4579
bridgeours,10,2,2048,0.8675,0.7640
bridgeours,10,2,512,0.8025,0.6589
bridgeours,10,2,1024,0.8438,0.7173
bridgeours,10,2,16,0.5394,0.4019
bridgeours,10,2,128,0.7168,0.5794
bridgeours,10,2,256,0.7402,0.5935
bridgeours,10,2,64,0.6772,0.5140
bridgeours,10,2,2844,0.9230,0.8551
bridgeours,10,2,32,0.5411,0.4112
bridgeours,10,2,2048,0.8789,0.7804
bridgeours,10,2,512,0.7899,0.6565
bridgeours,10,2,1024,0.8352,0.7290
bridgeours,10,2,16,0.4615,0.3201
bridgeours,10,2,128,0.7127,0.5631
bridgeours,10,2,256,0.7537,0.6192
bridgeours,10,2,2844,0.9275,0.8575
bridgeours,10,2,64,0.6637,0.5210
bridgeours,10,2,32,0.5337,0.3855
bridgeours,10,3,2048,0.8699,0.7710
bridgeours,10,3,512,0.8182,0.7009
bridgeours,10,3,1024,0.8221,0.6893
bridgeours,10,3,16,0.5480,0.4089
bridgeours,10,3,128,0.7362,0.6028
bridgeours,10,3,2844,0.9261,0.8621
bridgeours,10,3,256,0.7698,0.6495
bridgeours,10,3,64,0.6411,0.4883
bridgeours,10,3,32,0.5798,0.4556
bridgeours,10,3,2048,0.8864,0.7850
bridgeours,10,3,512,0.8101,0.6893
bridgeours,10,3,1024,0.8766,0.7640
bridgeours,10,3,16,0.5060,0.3645
bridgeours,10,3,128,0.6882,0.5467
bridgeours,10,3,256,0.7559,0.6238
bridgeours,10,3,64,0.6288,0.4720
bridgeours,10,3,2844,0.9246,0.8575
bridgeours,10,3,32,0.5633,0.4065
bridgeours,10,3,2048,0.8848,0.7991
bridgeours,10,3,512,0.8112,0.6799
bridgeours,10,3,1024,0.8294,0.7079
bridgeours,10,3,2844,0.9173,0.8528
bridgeours,10,3,16,0.5226,0.3762
bridgeours,10,3,128,0.7114,0.5631
bridgeours,10,3,256,0.7590,0.6308
bridgeours,10,3,64,0.6243,0.4977
bridgeours,10,3,32,0.5582,0.4229
bridgeours,10,3,2048,0.8803,0.7757
bridgeours,10,3,2844,0.9164,0.8388
bridgeours,10,3,512,0.7861,0.6308
bridgeours,10,3,1024,0.8405,0.7290
bridgeours,10,3,16,0.5017,0.3575
bridgeours,10,3,128,0.7244,0.5888
bridgeours,10,3,256,0.7544,0.6215
bridgeours,10,3,64,0.6167,0.4836
bridgeours,10,3,32,0.5439,0.4065
bridgeours,10,3,2048,0.8592,0.7430
bridgeours,10,3,2844,0.9244,0.8645
bridgeours,10,3,512,0.8115,0.6822
bridgeours,10,3,1024,0.8434,0.7290
bridgeours,10,3,16,0.4810,0.3318
bridgeours,10,3,128,0.6928,0.5444
bridgeours,10,3,256,0.7343,0.5841
bridgeours,10,3,64,0.6338,0.4696
bridgeours,10,3,32,0.5470,0.4136
bridgeours,10,3,2844,0.9242,0.8621
bridgeours,10,3,2048,0.8737,0.7734
bridgeours,10,3,512,0.8008,0.6636
bridgeours,10,3,1024,0.8506,0.7313
bridgeours,10,3,16,0.4736,0.3575
bridgeours,10,3,128,0.6965,0.5491
bridgeours,10,3,256,0.7655,0.6355
bridgeours,10,3,64,0.6496,0.5187
bridgeours,10,3,32,0.5816,0.4463
bridgeours,10,3,2048,0.8757,0.7804
bridgeours,10,3,2844,0.9227,0.8598
bridgeours,10,3,512,0.7981,0.6472
bridgeours,10,3,1024,0.8303,0.7103
bridgeours,10,3,16,0.4655,0.3131
bridgeours,10,3,128,0.7016,0.5514
bridgeours,10,3,256,0.7285,0.5935
bridgeours,10,3,64,0.6493,0.5117
bridgeours,10,3,32,0.5126,0.3598
bridgeours,10,3,2048,0.8822,0.7780
bridgeours,10,3,512,0.7882,0.6589
bridgeours,10,3,1024,0.8332,0.7220
bridgeours,10,3,16,0.4721,0.3411
bridgeours,10,3,128,0.6675,0.5280
bridgeours,10,3,256,0.7238,0.6145
bridgeours,10,3,64,0.6404,0.5047
bridgeours,10,3,2844,0.9268,0.8645
bridgeours,10,3,32,0.5668,0.4439
bridgeours,10,3,2048,0.8671,0.7617
bridgeours,10,3,512,0.7935,0.6495
bridgeours,10,3,1024,0.8293,0.7103
bridgeours,10,3,16,0.5096,0.3715
bridgeours,10,3,128,0.6992,0.5537
bridgeours,10,3,256,0.7278,0.5818
bridgeours,10,3,64,0.6334,0.4673
bridgeours,10,3,2844,0.9308,0.8645
bridgeours,10,3,32,0.5225,0.3925
bridgeours,10,3,2048,0.8627,0.7617
bridgeours,10,3,512,0.7909,0.6659
bridgeours,10,3,1024,0.8328,0.7196
bridgeours,10,3,16,0.4729,0.3061
bridgeours,10,3,128,0.6989,0.5467
bridgeours,10,3,256,0.7535,0.6145
bridgeours,10,3,2844,0.9294,0.8551
bridgeours,10,3,64,0.6711,0.5234
bridgeours,10,3,32,0.5503,0.4136
bridgefinetune,10,2,2048,0.8762,0.7780
bridgefinetune,10,2,512,0.8092,0.6869
bridgefinetune,10,2,1024,0.8383,0.7126
bridgefinetune,10,2,16,0.1359,0.0491
bridgefinetune,10,2,128,0.6340,0.4930
bridgefinetune,10,2,2844,0.9113,0.8435
bridgefinetune,10,2,256,0.7329,0.6121
bridgefinetune,10,2,64,0.2894,0.1682
bridgefinetune,10,2,32,0.1539,0.0654
bridgefinetune,10,2,2048,0.8736,0.7780
bridgefinetune,10,2,512,0.7976,0.6542
bridgefinetune,10,2,1024,0.8658,0.7687
bridgefinetune,10,2,16,0.0683,0.0093
bridgefinetune,10,2,128,0.6316,0.4720
bridgefinetune,10,2,256,0.7483,0.6262
bridgefinetune,10,2,64,0.3852,0.2430
bridgefinetune,10,2,2844,0.9122,0.8435
bridgefinetune,10,2,32,0.1289,0.0467
bridgefinetune,10,2,2048,0.8766,0.7897
bridgefinetune,10,2,512,0.7967,0.6682
bridgefinetune,10,2,1024,0.8215,0.6916
bridgefinetune,10,2,2844,0.9098,0.8341
bridgefinetune,10,2,16,0.0986,0.0304
bridgefinetune,10,2,128,0.6005,0.4696
bridgefinetune,10,2,256,0.7186,0.6098
bridgefinetune,10,2,64,0.2003,0.1379
bridgefinetune,10,2,32,0.1373,0.0117
bridgefinetune,10,2,2048,0.8680,0.7710
bridgefinetune,10,2,2844,0.9147,0.8411
bridgefinetune,10,2,512,0.7665,0.6402
bridgefinetune,10,2,1024,0.8343,0.7196
bridgefinetune,10,2,16,0.0972,0.0397
bridgefinetune,10,2,128,0.6045,0.4650
bridgefinetune,10,2,256,0.6933,0.5584
bridgefinetune,10,2,64,0.1839,0.0888
bridgefinetune,10,2,32,0.1226,0.0257
bridgefinetune,10,2,2048,0.8519,0.7360
bridgefinetune,10,2,2844,0.9126,0.8411
bridgefinetune,10,2,512,0.7981,0.6752
bridgefinetune,10,2,1024,0.8402,0.7313
bridgefinetune,10,2,16,0.1157,0.0514
bridgefinetune,10,2,128,0.6193,0.4743
bridgefinetune,10,2,256,0.7364,0.6121
bridgefinetune,10,2,64,0.3778,0.2523
bridgefinetune,10,2,32,0.1445,0.0888
bridgefinetune,10,2,2844,0.9170,0.8505
bridgefinetune,10,2,2048,0.8704,0.7757
bridgefinetune,10,2,512,0.7894,0.6495
bridgefinetune,10,2,1024,0.8202,0.6916
bridgefinetune,10,2,16,0.1319,0.0537
bridgefinetune,10,2,128,0.6407,0.5000
bridgefinetune,10,2,256,0.7194,0.5958
bridgefinetune,10,2,64,0.2311,0.1379
bridgefinetune,10,2,32,0.1414,0.0537
bridgefinetune,10,2,2048,0.8742,0.7850
bridgefinetune,10,2,2844,0.9198,0.8551
bridgefinetune,10,2,512,0.7620,0.6215
bridgefinetune,10,2,1024,0.7992,0.6799
bridgefinetune,10,2,16,0.0856,0.0280
bridgefinetune,10,2,128,0.5965,0.4533
bridgefinetune,10,2,256,0.7119,0.5841
bridgefinetune,10,2,64,0.3455,0.2336
bridgefinetune,10,2,32,0.1429,0.0654
bridgefinetune,10,2,2048,0.8752,0.7640
bridgefinetune,10,2,512,0.7739,0.6449
bridgefinetune,10,2,1024,0.8387,0.7290
bridgefinetune,10,2,16,0.0879,0.0421
bridgefinetune,10,2,128,0.6255,0.5000
bridgefinetune,10,2,256,0.7252,0.6005
bridgefinetune,10,2,64,0.4109,0.3131
bridgefinetune,10,2,2844,0.9114,0.8458
bridgefinetune,10,2,32,0.1483,0.0631
bridgefinetune,10,2,2048,0.8559,0.7617
bridgefinetune,10,2,512,0.7903,0.6565
bridgefinetune,10,2,1024,0.8305,0.7196
bridgefinetune,10,2,16,0.1314,0.0561
bridgefinetune,10,2,128,0.6528,0.5444
bridgefinetune,10,2,256,0.6949,0.5537
bridgefinetune,10,2,64,0.3131,0.1893
bridgefinetune,10,2,2844,0.9141,0.8505
bridgefinetune,10,2,32,0.1940,0.1145
bridgefinetune,10,2,2048,0.8644,0.7617
bridgefinetune,10,2,512,0.7957,0.6612
bridgefinetune,10,2,1024,0.8314,0.7290
bridgefinetune,10,2,16,0.0987,0.0561
bridgefinetune,10,2,128,0.6590,0.5350
bridgefinetune,10,2,256,0.7387,0.6121
bridgefinetune,10,2,2844,0.9162,0.8458
bridgefinetune,10,2,64,0.1345,0.0654
bridgefinetune,10,2,32,0.1309,0.0491
bridgebart_finetune,10,2,2048,0.8645,0.7570
bridgebart_finetune,10,2,1024,0.8356,0.7056
bridgebart_finetune,10,2,128,0.6198,0.4743
bridgebart_finetune,10,2,2844,0.9213,0.8528
bridgebart_finetune,10,2,64,0.2397,0.1449
bridgebart_finetune,10,2,32,0.0872,0.0257
bridgebart_finetune,10,2,512,0.8498,0.7266
bridgebart_finetune,10,2,16,0.0932,0.0210
bridgebart_finetune,10,2,256,0.7584,0.6028
bridgebart_finetune,10,2,2048,0.8835,0.7710
bridgebart_finetune,10,2,1024,0.8659,0.7593
bridgebart_finetune,10,2,128,0.6159,0.4650
bridgebart_finetune,10,2,64,0.1999,0.0981
bridgebart_finetune,10,2,2844,0.9177,0.8458
bridgebart_finetune,10,2,32,0.1431,0.0444
bridgebart_finetune,10,2,512,0.8183,0.6869
bridgebart_finetune,10,2,16,0.0762,0.0117
bridgebart_finetune,10,2,256,0.7505,0.6168
bridgebart_finetune,10,2,2048,0.8812,0.7827
bridgebart_finetune,10,2,1024,0.8347,0.7033
bridgebart_finetune,10,2,128,0.6650,0.5444
bridgebart_finetune,10,2,2844,0.9120,0.8364
bridgebart_finetune,10,2,64,0.2328,0.1752
bridgebart_finetune,10,2,32,0.1334,0.0771
bridgebart_finetune,10,2,512,0.7912,0.6402
bridgebart_finetune,10,2,16,0.0999,0.0421
bridgebart_finetune,10,2,256,0.7682,0.6472
bridgebart_finetune,10,2,2048,0.8772,0.7780
bridgebart_finetune,10,2,1024,0.8402,0.7407
bridgebart_finetune,10,2,128,0.6331,0.5000
bridgebart_finetune,10,2,64,0.2773,0.1706
bridgebart_finetune,10,2,32,0.1022,0.0187
bridgebart_finetune,10,2,2844,0.9172,0.8505
bridgebart_finetune,10,2,512,0.8184,0.6822
bridgebart_finetune,10,2,16,0.0691,0.0023
