domain,epochs,iter,样本数,F1,EM
bridgeno_postfix,10,2,128,0.7832699999999999,0.64276
bridgeno_postfix,10,2,256,0.8171700000000002,0.6861999999999998
bridgeno_postfix,10,2,512,0.8398499999999999,0.71004
bridgeno_postfix,10,2,1024,0.86394,0.7458
bridgeno_postfix,10,2,2048,0.89068,0.7911100000000001
bridgeno_postfix,10,2,2844,0.9235600000000002,0.8534900000000001
bridgeours,10,1,16,0.52608,0.38856
bridgeours,10,1,32,0.57935,0.43855999999999995
bridgeours,10,1,64,0.6624000000000001,0.52196
bridgeours,10,1,128,0.72346,0.5768800000000001
bridgeours,10,1,256,0.76386,0.6296700000000001
bridgeours,10,1,512,0.8098600000000001,0.67524
bridgeours,10,1,1024,0.8448699999999999,0.72875
bridgeours,10,1,2048,0.8787699999999999,0.7782600000000001
bridgeours,10,1,2844,0.9174200000000001,0.8478899999999999
bridgeours,10,2,16,0.49966,0.36214
bridgeours,10,2,32,0.56233,0.42312000000000005
bridgeours,10,2,64,0.65119,0.51379
bridgeours,10,2,128,0.7147400000000002,0.5700899999999999
bridgeours,10,2,256,0.75513,0.6228899999999999
bridgeours,10,2,512,0.8062100000000001,0.6740600000000001
bridgeours,10,2,1024,0.84099,0.72197
bridgeours,10,2,2048,0.8769000000000002,0.7771
bridgeours,10,2,2844,0.9217400000000001,0.8539700000000001
bridgeours,10,3,16,0.4953,0.35281999999999997
bridgeours,10,3,32,0.5526,0.41612
bridgeours,10,3,64,0.6388499999999999,0.4937
bridgeours,10,3,128,0.7016700000000001,0.55747
bridgeours,10,3,256,0.74725,0.61495
bridgeours,10,3,512,0.8008599999999999,0.6668199999999999
bridgeours,10,3,1024,0.8388200000000001,0.72127
bridgeours,10,3,2048,0.8741999999999999,0.7729000000000001
bridgeours,10,3,2844,0.9242699999999999,0.85817
bridgeours_3,10,1,16,0.56848,0.42921000000000004
bridgeours_3,10,1,32,0.6212799999999999,0.47803000000000007
bridgeours_3,10,1,64,0.6735800000000001,0.5322399999999999
bridgeours_3,10,1,128,0.7391,0.59882
bridgeours_3,10,1,256,0.7837,0.65071
bridgeours_3,10,1,512,0.8135100000000002,0.68177
bridgeours_3,10,1,1024,0.8473,0.7313000000000001
bridgeours_3,10,1,2048,0.87782,0.77827
bridgeours_3,10,1,2844,0.9172900000000002,0.85024
bridgeours_3,10,2,16,0.5686100000000002,0.42546999999999996
bridgeours_3,10,2,32,0.6024800000000001,0.45631999999999995
bridgeours_3,10,2,64,0.6793000000000001,0.5376199999999999
bridgeours_3,10,2,128,0.7354799999999999,0.58925
bridgeours_3,10,2,256,0.7786899999999999,0.63996
bridgeours_3,10,2,512,0.8116099999999999,0.6792
bridgeours_3,10,2,1024,0.8466699999999999,0.72875
bridgeours_3,10,2,2048,0.8805099999999999,0.7808499999999999
bridgeours_3,10,2,2844,0.91737,0.8483599999999999
bridgeours_4,10,1,16,0.5681,0.4278099999999999
bridgeours_4,10,1,32,0.62242,0.47266
bridgeours_4,10,1,64,0.67127,0.52688
bridgeours_4,10,1,128,0.74188,0.5997600000000001
bridgeours_4,10,1,256,0.77558,0.64134
bridgeours_4,10,1,512,0.8158700000000001,0.68015
bridgeours_4,10,1,1024,0.8449199999999999,0.73201
bridgeours_4,10,1,2048,0.8780699999999999,0.7794300000000001
bridgeours_4,10,1,2844,0.9158,0.85045
bridgeours_4,10,2,16,0.57711,0.43319
bridgeours_4,10,2,32,0.6231599999999999,0.46845
bridgeours_4,10,2,64,0.67969,0.52618
bridgeours_4,10,2,128,0.74343,0.5990599999999999
